id;classroom;time window;is_lab;lab_type;weekday
227;B002;N4;1;2;4
228;B002;N5;1;2;4
229;B002;M1;1;2;5
230;B002;M2;1;2;5
231;B002;M3;1;2;5
232;B002;M4;1;2;5
233;B002;M5;1;2;5
234;B002;T1;1;2;5
235;B002;T2;1;2;5
236;B002;T3;1;2;5
237;B002;T4;1;2;5
238;B002;T5;1;2;5
239;B002;N1;1;2;5
240;B002;N2;1;2;5
241;B002;N3;1;2;5
242;B002;N4;1;2;5
243;B002;N5;1;2;5
244;B002;M1;1;2;6
245;B002;M2;1;2;6
246;B002;M3;1;2;6
247;B002;M4;1;2;6
248;B002;M5;1;2;6
249;B002;T1;1;2;6
250;B002;T2;1;2;6
251;B002;T3;1;2;6
252;B002;T4;1;2;6
253;B002;T5;1;2;6
254;B002;N1;1;2;6
255;B002;N2;1;2;6
256;B002;N3;1;2;6
257;B002;N4;1;2;6
258;B002;N5;1;2;6
259;B004;M1;1;6;2
260;B004;M2;1;6;2
261;B004;M3;1;6;2
262;B004;M4;1;6;2
263;B004;M5;1;6;2
264;B004;T1;1;6;2
265;B004;T2;1;6;2
266;B004;T3;1;6;2
267;B004;T4;1;6;2
268;B004;T5;1;6;2
269;B004;N1;1;6;2
270;B004;N2;1;6;2
271;B004;N3;1;6;2
272;B004;N4;1;6;2
273;B004;N5;1;6;2
274;B004;M1;1;6;3
275;B004;M2;1;6;3
276;B004;M3;1;6;3
277;B004;M4;1;6;3
278;B004;M5;1;6;3
279;B004;T1;1;6;3
280;B004;T2;1;6;3
281;B004;T3;1;6;3
282;B004;T4;1;6;3
283;B004;T5;1;6;3
284;B004;N1;1;6;3
285;B004;N2;1;6;3
286;B004;N3;1;6;3
287;B004;N4;1;6;3
288;B004;N5;1;6;3
289;B004;M1;1;6;4
290;B004;M2;1;6;4
291;B004;M3;1;6;4
292;B004;M4;1;6;4
293;B004;M5;1;6;4
294;B004;T1;1;6;4
295;B004;T2;1;6;4
296;B004;T3;1;6;4
297;B004;T4;1;6;4
298;B004;T5;1;6;4
299;B004;N1;1;6;4
300;B004;N2;1;6;4
301;B004;N3;1;6;4
302;B004;N4;1;6;4
303;B004;N5;1;6;4
304;B004;M1;1;6;5
305;B004;M2;1;6;5
306;B004;M3;1;6;5
307;B004;M4;1;6;5
308;B004;M5;1;6;5
309;B004;T1;1;6;5
310;B004;T2;1;6;5
311;B004;T3;1;6;5
312;B004;T4;1;6;5
313;B004;T5;1;6;5
314;B004;N1;1;6;5
315;B004;N2;1;6;5
316;B004;N3;1;6;5
317;B004;N4;1;6;5
318;B004;N5;1;6;5
319;B004;M1;1;6;6
320;B004;M2;1;6;6
321;B004;M3;1;6;6
322;B004;M4;1;6;6
323;B004;M5;1;6;6
324;B004;T1;1;6;6
325;B004;T2;1;6;6
326;B004;T3;1;6;6
327;B004;T4;1;6;6
328;B004;T5;1;6;6
329;B004;N1;1;6;6
330;B004;N2;1;6;6
331;B004;N3;1;6;6
332;B004;N4;1;6;6
333;B004;N5;1;6;6
334;B005;M1;1;7;2
335;B005;M2;1;7;2
336;B005;M3;1;7;2
337;B005;M4;1;7;2
338;B005;M5;1;7;2
339;B005;T1;1;7;2
340;B005;T2;1;7;2
341;B005;T3;1;7;2
342;B005;T4;1;7;2
343;B005;T5;1;7;2
344;B005;N1;1;7;2
345;B005;N2;1;7;2
346;B005;N3;1;7;2
347;B005;N4;1;7;2
348;B005;N5;1;7;2
349;B005;M1;1;7;3
350;B005;M2;1;7;3
351;B005;M3;1;7;3
352;B005;M4;1;7;3
353;B005;M5;1;7;3
354;B005;T1;1;7;3
355;B005;T2;1;7;3
356;B005;T3;1;7;3
357;B005;T4;1;7;3
358;B005;T5;1;7;3
359;B005;N1;1;7;3
360;B005;N2;1;7;3
361;B005;N3;1;7;3
362;B005;N4;1;7;3
363;B005;N5;1;7;3
364;B005;M1;1;7;4
365;B005;M2;1;7;4
366;B005;M3;1;7;4
367;B005;M4;1;7;4
368;B005;M5;1;7;4
369;B005;T1;1;7;4
370;B005;T2;1;7;4
371;B005;T3;1;7;4
372;B005;T4;1;7;4
373;B005;T5;1;7;4
374;B005;N1;1;7;4
375;B005;N2;1;7;4
376;B005;N3;1;7;4
377;B005;N4;1;7;4
378;B005;N5;1;7;4
379;B005;M1;1;7;5
380;B005;M2;1;7;5
381;B005;M3;1;7;5
382;B005;M4;1;7;5
383;B005;M5;1;7;5
384;B005;T1;1;7;5
385;B005;T2;1;7;5
386;B005;T3;1;7;5
387;B005;T4;1;7;5
388;B005;T5;1;7;5
389;B005;N1;1;7;5
390;B005;N2;1;7;5
391;B005;N3;1;7;5
392;B005;N4;1;7;5
393;B005;N5;1;7;5
394;B005;M1;1;7;6
395;B005;M2;1;7;6
396;B005;M3;1;7;6
397;B005;M4;1;7;6
398;B005;M5;1;7;6
399;B005;T1;1;7;6
400;B005;T2;1;7;6
401;B005;T3;1;7;6
402;B005;T4;1;7;6
403;B005;T5;1;7;6
404;B005;N1;1;7;6
405;B005;N2;1;7;6
406;B005;N3;1;7;6
407;B005;N4;1;7;6
408;B005;N5;1;7;6
409;B007;M1;1;8;2
410;B007;M2;1;8;2
411;B007;M3;1;8;2
412;B007;M4;1;8;2
413;B007;M5;1;8;2
414;B007;T1;1;8;2
415;B007;T2;1;8;2
416;B007;T3;1;8;2
417;B007;T4;1;8;2
418;B007;T5;1;8;2
419;B007;N1;1;8;2
420;B007;N2;1;8;2
421;B007;N3;1;8;2
422;B007;N4;1;8;2
423;B007;N5;1;8;2
424;B007;M1;1;8;3
425;B007;M2;1;8;3
426;B007;M3;1;8;3
427;B007;M4;1;8;3
428;B007;M5;1;8;3
429;B007;T1;1;8;3
430;B007;T2;1;8;3
431;B007;T3;1;8;3
432;B007;T4;1;8;3
433;B007;T5;1;8;3
434;B007;N1;1;8;3
435;B007;N2;1;8;3
436;B007;N3;1;8;3
437;B007;N4;1;8;3
